DEPTH,CALIPER
673.970448,9.102258127
674.2755005,9.062883152
674.4661582,8.983925968
674.6186845,8.865424251
674.8474738,8.865537289
675.1778845,8.787584953
675.5122518,8.787750154
676.0312275,8.77338542
676.8668141,8.788419404
677.2259149,8.788596826
677.5805658,8.828458015
677.9247216,8.891290104
678.3101078,8.925596518
678.7074556,8.913608548
678.9364338,8.897638419
679.1959737,8.818812466
679.6486299,8.690104192
680.1715995,8.677956756
680.7320176,8.633151777
681.2128725,8.629734067
681.9814609,8.65448238
682.3168008,8.674142923
682.5765758,8.688892415
682.8309046,8.652465208
683.4093948,8.606893795
683.9520693,8.612478695
684.2993194,8.607865159
684.6444491,8.594876647
685.6997538,8.58808747
686.1468176,8.602929497
686.5983874,8.617773749
687.0101877,8.617977208
687.4232026,8.600635892
687.7720769,8.618353636
688.2021807,8.581200988
688.6254556,8.567601257
689.0785709,8.552391697
689.5373719,8.54612009
689.8850708,8.546291878
690.2471774,8.546470784
690.7958116,8.532120703
691.4535949,8.51782455
691.9493001,8.488827173
692.27171,8.488986466
692.7983129,8.489246645
693.213953,8.518694292
693.6913211,8.518930146
694.0466437,8.5191057
694.3843904,8.509525141
694.7091288,8.490190724
695.0283146,8.490348425
695.9874841,8.461580032
696.3501952,8.461759237
696.7854486,8.461974283
697.1709971,8.506028208
698.0614025,8.535710422
698.9169965,8.528260222
699.6333355,8.562805131
700.081183,8.574723315
701.1420123,8.61033819
701.522859,8.566662919
703.0071535,8.552775121
703.316264,8.538306698
703.7112161,8.567744123
705.107654,8.565509833
705.769266,8.575027151
706.249791,8.583619505
706.4617755,8.525239659
708.0032979,8.599107007
708.4678816,8.578217113
709.3352537,8.585143943
709.6657239,8.585307219
709.9921639,8.585468503
710.7709853,8.571232151
712.7090718,8.61605314
713.1799111,8.607513081
713.4862811,8.616437137
714.1633419,8.616771653
714.5365482,8.591369039
714.9461934,8.595226719
716.0950026,8.573862594
716.7708319,8.588817648
717.1630973,8.657243466
717.766822,8.637160759
718.0987577,8.662579464
